gene,drug,interaction
356,441,1.0
357,442,1.0
20,443,1.0
243,235,1.0
84,444,1.0
358,446,1.0
359,447,1.0
360,448,1.0
361,450,1.0
278,451,1.0
362,453,1.0
244,454,1.0
330,455,1.0
363,456,1.0
195,457,1.0
364,458,1.0
192,459,1.0
365,460,1.0
366,461,1.0
138,462,1.0
367,4,1.0
112,463,1.0
202,295,1.0
110,464,1.0
116,465,1.0
50,466,1.0
68,448,1.0
368,467,1.0
369,468,1.0
340,469,1.0
370,470,1.0
371,116,1.0
372,275,1.0
374,472,1.0
375,473,1.0
376,474,1.0
12,475,1.0
197,476,1.0
24,477,1.0
377,478,1.0
378,436,1.0
379,479,1.0
381,481,1.0
64,482,1.0
382,483,1.0
383,484,1.0
248,485,1.0
384,486,1.0
385,272,1.0
0,487,1.0
386,488,1.0
259,489,1.0
387,490,1.0
388,491,1.0
259,492,1.0
389,101,1.0
390,493,1.0
253,494,1.0
126,495,1.0
391,496,1.0
150,497,1.0
133,500,1.0
278,501,1.0
394,463,1.0
259,280,1.0
395,503,1.0
109,504,1.0
396,505,1.0
397,506,1.0
72,507,1.0
265,508,1.0
398,509,1.0
52,87,1.0
399,510,1.0
29,511,1.0
28,513,1.0
49,404,1.0
400,514,1.0
402,516,1.0
404,518,1.0
405,272,1.0
406,519,1.0
228,522,1.0
409,523,1.0
209,139,1.0
410,524,1.0
142,525,1.0
411,50,1.0
412,526,1.0
413,527,1.0
414,528,1.0
282,529,1.0
58,531,1.0
415,532,1.0
156,533,1.0
416,534,1.0
291,535,1.0
417,536,1.0
369,229,1.0
420,448,1.0
421,539,1.0
106,540,1.0
317,541,1.0
422,538,1.0
423,542,1.0
300,475,1.0
60,543,1.0
424,544,1.0
60,546,1.0
378,547,1.0
20,530,1.0
428,550,1.0
28,551,1.0
332,408,1.0
429,276,1.0
206,552,1.0
430,553,1.0
431,554,1.0
404,518,1.0
366,555,1.0
432,556,1.0
147,557,1.0
433,558,1.0
434,559,1.0
435,560,1.0
436,370,1.0
153,563,1.0
437,564,1.0
438,565,1.0
21,566,1.0
439,567,1.0
132,568,1.0
410,201,1.0
441,569,1.0
442,570,1.0
319,571,1.0
443,573,1.0
444,201,1.0
301,574,1.0
445,575,1.0
143,577,1.0
447,578,1.0
164,579,1.0
244,580,1.0
164,581,1.0
448,272,1.0
449,582,1.0
450,76,1.0
64,586,1.0
290,587,1.0
452,588,1.0
4,589,1.0
453,201,1.0
456,151,1.0
457,592,1.0
458,272,1.0
459,102,1.0
64,593,1.0
199,338,1.0
462,595,1.0
12,596,1.0
463,276,1.0
80,296,1.0
253,361,1.0
465,599,1.0
466,600,1.0
467,601,1.0
197,476,1.0
470,602,1.0
204,603,1.0
471,604,1.0
0,605,1.0
21,607,1.0
78,608,1.0
277,609,1.0
56,610,1.0
473,611,1.0
253,9,1.0
56,612,1.0
409,613,1.0
474,614,1.0
475,615,1.0
476,548,1.0
477,616,1.0
478,617,1.0
253,618,1.0
318,619,1.0
406,620,1.0
189,277,1.0
479,621,1.0
480,261,1.0
481,623,1.0
482,446,1.0
209,531,1.0
483,361,1.0
164,624,1.0
484,625,1.0
72,627,1.0
485,276,1.0
486,628,1.0
487,629,1.0
488,61,1.0
489,630,1.0
241,624,1.0
12,631,1.0
490,632,1.0
64,633,1.0
491,538,1.0
492,635,1.0
37,636,1.0
55,55,1.0
202,637,1.0
133,638,1.0
341,640,1.0
494,642,1.0
112,463,1.0
26,644,1.0
496,55,1.0
497,55,1.0
23,599,1.0
228,645,1.0
498,646,1.0
499,121,1.0
500,647,1.0
446,648,1.0
501,649,1.0
167,651,1.0
503,653,1.0
1,56,1.0
9,655,1.0
504,656,1.0
505,373,1.0
281,658,1.0
348,659,1.0
294,660,1.0
507,661,1.0
227,661,1.0
508,662,1.0
509,663,1.0
95,664,1.0
4,655,1.0
510,665,1.0
511,666,1.0
93,667,1.0
512,668,1.0
117,9,1.0
514,669,1.0
515,670,1.0
516,669,1.0
212,671,1.0
517,672,1.0
518,330,1.0
519,378,1.0
273,378,1.0
400,504,1.0
172,674,1.0
253,123,1.0
261,291,1.0
344,675,1.0
157,676,1.0
520,677,1.0
454,677,1.0
335,677,1.0
15,677,1.0
522,678,1.0
523,678,1.0
524,679,1.0
522,679,1.0
15,680,1.0
71,681,1.0
526,684,1.0
527,684,1.0
528,685,1.0
269,685,1.0
529,685,1.0
530,685,1.0
202,686,1.0
531,387,1.0
533,387,1.0
534,387,1.0
535,257,1.0
536,193,1.0
356,687,1.0
537,688,1.0
538,689,1.0
178,355,1.0
341,355,1.0
290,355,1.0
322,692,1.0
542,692,1.0
543,693,1.0
544,692,1.0
286,694,1.0
545,695,1.0
546,697,1.0
547,698,1.0
412,699,1.0
180,700,1.0
217,702,1.0
548,436,1.0
549,703,1.0
475,704,1.0
222,705,1.0
550,450,1.0
551,450,1.0
335,450,1.0
522,450,1.0
60,706,1.0
117,708,1.0
155,709,1.0
547,710,1.0
552,711,1.0
229,713,1.0
438,714,1.0
24,715,1.0
553,716,1.0
554,716,1.0
556,717,1.0
217,713,1.0
521,713,1.0
522,713,1.0
558,719,1.0
379,721,1.0
560,722,1.0
561,409,1.0
198,409,1.0
564,726,1.0
565,217,1.0
566,217,1.0
567,217,1.0
568,217,1.0
569,217,1.0
98,729,1.0
7,730,1.0
572,729,1.0
98,731,1.0
386,731,1.0
106,733,1.0
210,734,1.0
510,568,1.0
378,568,1.0
574,735,1.0
576,153,1.0
157,738,1.0
578,740,1.0
148,741,1.0
337,741,1.0
330,455,1.0
575,742,1.0
580,743,1.0
581,744,1.0
583,746,1.0
110,747,1.0
586,750,1.0
57,751,1.0
474,752,1.0
260,290,1.0
376,753,1.0
588,755,1.0
5,756,1.0
589,757,1.0
512,522,1.0
371,221,1.0
404,758,1.0
42,445,1.0
348,759,1.0
536,760,1.0
149,354,1.0
592,761,1.0
535,763,1.0
594,765,1.0
595,700,1.0
164,766,1.0
74,768,1.0
12,769,1.0
259,770,1.0
85,771,1.0
596,179,1.0
259,772,1.0
208,765,1.0
597,773,1.0
1,774,1.0
241,353,1.0
2,775,1.0
64,776,1.0
598,502,1.0
47,610,1.0
599,778,1.0
23,779,1.0
600,769,1.0
192,781,1.0
391,765,1.0
132,782,1.0
63,783,1.0
184,200,1.0
455,352,1.0
74,502,1.0
409,591,1.0
424,786,1.0
2,788,1.0
74,790,1.0
244,791,1.0
63,619,1.0
487,792,1.0
604,790,1.0
259,793,1.0
305,794,1.0
30,795,1.0
64,447,1.0
84,542,1.0
161,796,1.0
78,797,1.0
598,765,1.0
37,798,1.0
85,799,1.0
64,800,1.0
605,801,1.0
606,802,1.0
78,803,1.0
607,804,1.0
608,800,1.0
609,805,1.0
610,806,1.0
189,807,1.0
74,41,1.0
473,544,1.0
446,809,1.0
20,259,1.0
192,810,1.0
116,333,1.0
615,813,1.0
2,814,1.0
388,815,1.0
446,816,1.0
616,817,1.0
2,818,1.0
244,820,1.0
618,708,1.0
619,266,1.0
360,821,1.0
70,218,1.0
74,822,1.0
594,823,1.0
189,824,1.0
132,825,1.0
620,448,1.0
622,581,1.0
594,826,1.0
623,827,1.0
348,828,1.0
624,346,1.0
388,829,1.0
259,830,1.0
164,831,1.0
237,475,1.0
455,377,1.0
446,832,1.0
84,833,1.0
84,834,1.0
507,835,1.0
625,835,1.0
530,592,1.0
626,812,1.0
37,836,1.0
132,837,1.0
627,838,1.0
132,839,1.0
628,566,1.0
